Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2024;79.164.340;422.022;76.849.255;7.949.997;8.586.549;6.034.987;179.007.149;-106.294.914;-22.933.282;-5.795;0;-13.875.177;-143.109.168;35.897.982;16.547.821;5.055.845;-12.276.530;-15.356.463;-3.879.325;4.732.746;33.424.388;-39.907.926;-11.659.445;24.238.536;1.654.675;25.893.212;111.744;-5.034.907;20.970.049;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2024;91.120.562;145.110;66.354.336;1.612.113;11.906.410;3.832.958;174.971.491;-104.899.758;-20.174.219;-90.118;0;-22.009.100;-147.173.195;27.798.296;10.895.211;4.362.632;-13.566.590;-7.189.391;-3.337.160;4.642.472;9.837.393;-13.222.906;-7.578.340;20.219.957;69.274;20.289.230;-84.481;-2.261.808;17.942.942;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2024;67.732.698;2.098.768;30.392.835;1.616.999;4.954.944;4.512.857;111.309.100;-62.536.982;-12.250.821;-1.696.335;0;-16.463.036;-92.947.174;18.361.926;11.036.443;4.927.763;-11.502.810;-11.526.894;-2.721.528;5.256.647;7.908.571;-13.728.196;-10.350.005;8.011.922;-119.184;7.892.738;2.305.822;-23.179;10.175.381;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2024;64.455.152;0;24.466.668;3.259.195;367.931;5.560.558;98.109.504;-50.686.884;-15.907.000;0;0;-7.755.669;-74.349.553;23.759.951;10.372.504;3.063.994;-14.865.343;-6.711.998;-2.181.419;1.875.289;6.327.566;-15.294.922;-17.414.330;6.345.621;605.817;6.951.438;1.525.976;-1.165.705;7.311.709;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2024;43.919.289;865.846;19.702.911;5.347.911;0;4.427.328;74.263.285;-44.057.705;-8.469.628;-837.208;-27.205;-9.082.528;-62.474.274;11.789.011;8.142.021;2.857.270;-3.987.850;-8.028.068;-2.091.484;1.972.804;24.649.430;-26.704.287;-3.190.165;8.598.846;295.801;8.894.647;-629.695;-1.178.609;7.086.344;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2024;31.607.434;0;14.852.112;3.989.370;0;56.895;50.505.811;-2.280.745;-27.744.015;0;-14.810;43.837;-29.995.733;20.510.079;480.337;0;-1.548.870;-259.606;-874.382;25.376;1.727.005;-4.756.382;-5.206.523;15.303.555;120.947;15.424.502;-2.039.562;-332.280;13.052.660;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2024;15.154.955;242;13.697.273;7.941.328;0;2.162.972;38.956.771;-18.517.984;-8.949.164;-219;-17.941;-595.906;-28.081.213;10.875.557;3.591.672;612.262;-1.648.996;-5.691.805;-931.110;2.110.991;5.325.695;-6.827.716;-3.459.007;7.416.550;614.025;8.030.574;-579.027;-1.259.218;6.192.330;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2024;11.411.447;676.751;10.810.019;1.701.344;605.334;534.801;25.739.697;-17.647.716;-3.748.444;-496.069;0;864.233;-21.027.997;4.711.700;1.005.782;385.436;-2.230.383;-1.620.944;-369.402;657.481;5.154.451;-6.142.187;-3.159.765;1.551.935;27.397;1.579.332;385.556;-19.362;1.945.525;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;12/2024;20.024.615;0;2.915.992;499.730;0;2.169.117;25.609.453;-6.378.953;-110.140;-16;-176.096;-8.907.953;-15.573.159;10.036.295;4.090.701;163.256;-1.276.814;-4.603.272;-1.690.966;18.180;5.324.779;-4.140.283;-2.114.418;7.921.877;3.865;7.925.742;-2.459.573;-22.726;5.443.444;0
XP - PRUDENCIAL;1000082475;b1;S2;C;2;RIO DE JANEIRO;RJ;12/2024;1.366.148;0;7.397.082;2.766.791;1.113.428;361.797;13.005.246;-10.064.590;-38.998;0;0;-144.442;-10.248.030;2.757.216;2.641.461;620.017;-1.054.611;-2.798.309;-310.523;315.434;1.542.330;-2.482.908;-1.527.108;1.230.108;2.653;1.232.761;70.410;-728.719;574.452;0
